Year,Entity,Life expectancy
1833,Germany,38.369999
1834,Germany,38.369999
1835,Germany,38.369999
1836,Germany,38.369999
1837,Germany,38.369999
1838,Germany,38.369999
1839,Germany,38.369999
1840,Germany,38.369999
1841,Germany,38.369999
1842,Germany,38.369999
1843,Germany,38.369999
1844,Germany,38.369999
1845,Germany,38.369999
1846,Germany,38.369999
1847,Germany,38.369999
1848,Germany,38.369999
1849,Germany,38.369999
1850,Germany,38.369999
1851,Germany,38.369999
1852,Germany,38.369999
1853,Germany,38.369999
1854,Germany,38.369999
1855,Germany,38.369999
1856,Germany,38.369999
1857,Germany,38.369999
1858,Germany,38.369999
1859,Germany,38.369999
1860,Germany,38.369999
1861,Germany,38.369999
1862,Germany,38.369999
1863,Germany,38.369999
1864,Germany,38.369999
1865,Germany,38.369999
1866,Germany,38.369999
1867,Germany,38.369999
1868,Germany,38.369999
1869,Germany,38.369999
1870,Germany,38.369999
1871,Germany,38.369999
1872,Germany,38.369999
1873,Germany,38.369999
1874,Germany,38.369999
1875,Germany,38.369999
1876,Germany,38.477001
1877,Germany,38.584
1878,Germany,38.691002
1879,Germany,38.798
1880,Germany,38.904999
1881,Germany,39.012001
1882,Germany,39.118999
1883,Germany,39.226002
1884,Germany,39.333
1885,Germany,39.439999
1886,Germany,39.734001
1887,Germany,40.028
1888,Germany,40.321999
1889,Germany,40.616001
1890,Germany,40.91
1891,Germany,41.203999
1892,Germany,41.498001
1893,Germany,41.792
1894,Germany,42.085999
1895,Germany,42.380001
1896,Germany,42.687
1897,Germany,42.993999
1898,Germany,43.300999
1899,Germany,43.608002
1900,Germany,43.915001
1901,Germany,44.222
1902,Germany,44.528999
1903,Germany,44.835999
1904,Germany,45.143002
1905,Germany,45.450001
1906,Germany,46.041668
1907,Germany,46.633335
1908,Germany,47.224998
1909,Germany,47.816666
1910,Germany,48.408333
1911,Germany,49
1912,Germany,49.591667
1913,Germany,50.183334
1914,Germany,46.176483
1915,Germany,40.525562
1916,Germany,38.988819
1917,Germany,40.080376
1918,Germany,32.936821
1919,Germany,48.32066
1920,Germany,53.5
1921,Germany,55.014286
1922,Germany,55.615715
1923,Germany,56.217144
1924,Germany,56.818573
1925,Germany,57.419998
1926,Germany,57.827999
1927,Germany,58.236
1928,Germany,58.644001
1929,Germany,59.051998
1930,Germany,59.459999
1931,Germany,59.868
1932,Germany,60.276001
1933,Germany,60.683998
1934,Germany,61.091999
1935,Germany,61.5
1936,Germany,61.786667
1937,Germany,62.073334
1938,Germany,62.360001
1939,Germany,61
1940,Germany,60.659874
1941,Germany,59
1942,Germany,55
1943,Germany,49.700001
1944,Germany,37
1945,Germany,29
1946,Germany,60.51136
1947,Germany,62.10952
1948,Germany,63.70768
1949,Germany,65.30584
1950,Germany,66.903999
1951,Germany,67.066002
1952,Germany,67.385002
1953,Germany,67.692001
1954,Germany,67.987999
1955,Germany,68.271004
1956,Germany,68.562447
1957,Germany,68.480408
1958,Germany,69.220451
1959,Germany,69.327461
1960,Germany,69.245232
1961,Germany,69.836433
1962,Germany,70.004387
1963,Germany,70.092888
1964,Germany,70.6511
1965,Germany,70.634499
1966,Germany,70.748108
1967,Germany,70.969948
1968,Germany,70.615448
1969,Germany,70.464897
1970,Germany,70.704155
1971,Germany,70.920242
1972,Germany,71.144203
1973,Germany,71.390862
1974,Germany,71.692909
1975,Germany,71.538567
1976,Germany,71.999985
1977,Germany,72.610657
1978,Germany,72.584106
1979,Germany,72.943237
1980,Germany,73.116646
1981,Germany,73.353973
1982,Germany,73.656998
1983,Germany,73.935532
1984,Germany,74.413895
1985,Germany,74.517555
1986,Germany,74.72496
1987,Germany,75.122932
1988,Germany,75.295944
1989,Germany,75.478043
1990,Germany,75.470001
1991,Germany,75.709999
1992,Germany,76
1993,Germany,76.169998
1994,Germany,76.400002
1995,Germany,76.639999
1996,Germany,76.889999
1997,Germany,77.18
1998,Germany,77.449997
1999,Germany,77.730003
2000,Germany,78.019997
2001,Germany,78.300003
2002,Germany,78.519997
2003,Germany,78.720001
2004,Germany,79.019997
2005,Germany,79.25
2006,Germany,79.489998
2007,Germany,79.669998
2008,Germany,79.830002
2009,Germany,79.970001
2010,Germany,80.139999
2011,Germany,80.32
2012,Germany,80.480003
2013,Germany,80.57
2014,Germany,80.790001
2015,Germany,80.870003
2016,Germany,80.93
1800,India,25.4424
1801,India,25.4424
1802,India,25
1803,India,24
1804,India,23.5
1805,India,25.4424
1806,India,25.4424
1807,India,25.4424
1808,India,25.4424
1809,India,25.4424
1810,India,25.4424
1811,India,25.4424
1812,India,23
1813,India,25.4424
1814,India,25.4424
1815,India,25.4424
1816,India,25.4424
1817,India,25.4424
1818,India,25.4424
1819,India,25.4424
1820,India,25.4424
1821,India,25.4424
1822,India,25.4424
1823,India,25.4424
1824,India,25.4424
1825,India,25.4424
1826,India,25.4424
1827,India,25.4424
1828,India,25.4424
1829,India,25.4424
1830,India,25.4424
1831,India,25.4424
1832,India,23
1833,India,22
1834,India,25.4424
1835,India,25.4424
1836,India,25.4424
1837,India,24.299999
1838,India,23.9
1839,India,25.4424
1840,India,25.4424
1841,India,25.4424
1842,India,25.4424
1843,India,25.4424
1844,India,25.4424
1845,India,25.4424
1846,India,25.4424
1847,India,25.4424
1848,India,25.4424
1849,India,25.4424
1850,India,25.4424
1851,India,25.4424
1852,India,25.4424
1853,India,25.4424
1854,India,25.4424
1855,India,25.4424
1856,India,25.4424
1857,India,25.4424
1858,India,25.4424
1859,India,25.4424
1860,India,23
1861,India,22
1862,India,25.4424
1863,India,25.4424
1864,India,25.252296
1865,India,25.252296
1866,India,21.039825
1867,India,25.252296
1868,India,25.252296
1869,India,21.304474
1870,India,25.4424
1871,India,25.4424
1872,India,25.4424
1873,India,25.4424
1874,India,25.4424
1875,India,25.110001
1876,India,20
1877,India,19
1878,India,20
1879,India,25.4424
1880,India,25.4424
1881,India,25.4424
1882,India,25.3248
1883,India,25.207199
1884,India,25.0896
1885,India,24.972
1886,India,24.854401
1887,India,24.736799
1888,India,24.417561
1889,India,24.300924
1890,India,24.384001
1891,India,23.025278
1892,India,22.654757
1893,India,24.110241
1894,India,24.03216
1895,India,23.950001
1896,India,22.75
1897,India,19.85
1898,India,25.75
1899,India,23.35
1900,India,18.35
1901,India,23.049999
1902,India,23.6
1903,India,23.417761
1904,India,22
1905,India,21.9
1906,India,21.886934
1907,India,19.238894
1908,India,23.248159
1909,India,23.214239
1910,India,23.180321
1911,India,23.1464
1912,India,23.338577
1913,India,23.530756
1914,India,23.722933
1915,India,23.915112
1916,India,24.107288
1917,India,24.299467
1918,India,8.1088362
1919,India,24.578934
1920,India,24.718666
1921,India,24.8584
1922,India,25.304001
1923,India,25.749599
1924,India,26.1952
1925,India,26.6408
1926,India,27.086399
1927,India,27.532
1928,India,27.9776
1929,India,28.423201
1930,India,28.868799
1931,India,29.3144
1932,India,29.642241
1933,India,29.970079
1934,India,30.29792
1935,India,30.625759
1936,India,30.9536
1937,India,31.281441
1938,India,31.60928
1939,India,31.93712
1940,India,32.264961
1941,India,32.5928
1942,India,32.841377
1943,India,32.099751
1944,India,32.596069
1945,India,33.587112
1946,India,33.83569
1947,India,32.378502
1948,India,34.08567
1949,India,34.581421
1950,India,34.830002
1951,India,35.167
1952,India,35.842999
1953,India,36.521999
1954,India,37.203999
1955,India,37.889
1956,India,38.577999
1957,India,39.271
1958,India,39.969002
1959,India,40.674999
1960,India,41.390999
1961,India,42.118999
1962,India,42.860001
1963,India,43.612999
1964,India,44.375
1965,India,45.140999
1966,India,45.903
1967,India,46.654999
1968,India,47.394001
1969,India,48.118999
1970,India,48.835999
1971,India,49.554001
1972,India,50.280998
1973,India,51.014999
1974,India,51.75
1975,India,52.470001
1976,India,53.159
1977,India,53.799999
1978,India,54.382999
1979,India,54.903
1980,India,55.362999
1981,India,55.766998
1982,India,56.131001
1983,India,56.470001
1984,India,56.792
1985,India,57.102001
1986,India,57.400002
1987,India,57.687
1988,India,57.964001
1989,India,58.237999
1990,India,58.959999
1991,India,59.310001
1992,India,59.650002
1993,India,60.02
1994,India,60.380001
1995,India,60.73
1996,India,61.029999
1997,India,61.279999
1998,India,61.610001
1999,India,61.939999
2000,India,62.290001
2001,India,62.619999
2002,India,63
2003,India,63.400002
2004,India,63.77
2005,India,64.160004
2006,India,64.550003
2007,India,64.93
2008,India,65.32
2009,India,65.730003
2010,India,66.120003
2011,India,66.510002
2012,India,66.910004
2013,India,67.279999
2014,India,67.720001
2015,India,68.099998
2016,India,68.550003
1800,Italy,29.690001
1801,Italy,29.690001
1802,Italy,29.690001
1803,Italy,29.690001
1804,Italy,29.690001
1805,Italy,29.690001
1806,Italy,29.690001
1807,Italy,29.690001
1808,Italy,29.690001
1809,Italy,29.690001
1810,Italy,29.690001
1811,Italy,29.690001
1812,Italy,29.690001
1813,Italy,29.690001
1814,Italy,29.690001
1815,Italy,29.690001
1816,Italy,29.690001
1817,Italy,29.690001
1818,Italy,29.690001
1819,Italy,29.690001
1820,Italy,29.690001
1821,Italy,29.690001
1822,Italy,29.690001
1823,Italy,29.690001
1824,Italy,29.690001
1825,Italy,29.690001
1826,Italy,29.690001
1827,Italy,29.690001
1828,Italy,29.690001
1829,Italy,29.690001
1830,Italy,29.690001
1831,Italy,29.690001
1832,Italy,29.690001
1833,Italy,29.690001
1834,Italy,29.690001
1835,Italy,29.690001
1836,Italy,29.690001
1837,Italy,29.690001
1838,Italy,29.690001
1839,Italy,29.690001
1840,Italy,29.690001
1841,Italy,29.690001
1842,Italy,29.690001
1843,Italy,29.690001
1844,Italy,29.690001
1845,Italy,29.690001
1846,Italy,29.690001
1847,Italy,29.690001
1848,Italy,29.690001
1849,Italy,29.690001
1850,Italy,29.690001
1851,Italy,29.690001
1852,Italy,29.690001
1853,Italy,29.690001
1854,Italy,29.690001
1855,Italy,29.690001
1856,Italy,29.690001
1857,Italy,29.690001
1858,Italy,29.690001
1859,Italy,29.690001
1860,Italy,29.690001
1861,Italy,29.690001
1862,Italy,29.690001
1863,Italy,29.690001
1864,Italy,29.690001
1865,Italy,29.690001
1866,Italy,29.690001
1867,Italy,29.690001
1868,Italy,29.690001
1869,Italy,29.690001
1870,Italy,29.690001
1871,Italy,29.690001
1872,Italy,29.690001
1873,Italy,31.6
1874,Italy,31.75
1875,Italy,31.309999
1876,Italy,33.599998
1877,Italy,34.880001
1878,Italy,34.32
1879,Italy,33.950001
1880,Italy,32.740002
1881,Italy,34.200001
1882,Italy,34.290001
1883,Italy,35.18
1884,Italy,36.599998
1885,Italy,36.830002
1886,Italy,35.099998
1887,Italy,35.970001
1888,Italy,36.919998
1889,Italy,39.049999
1890,Italy,38.5
1891,Italy,38.459999
1892,Italy,38.84
1893,Italy,39.790001
1894,Italy,39.91
1895,Italy,39.610001
1896,Italy,40.700001
1897,Italy,43.290001
1898,Italy,42.330002
1899,Italy,43.669998
1900,Italy,41.66
1901,Italy,43.52
1902,Italy,42.990002
1903,Italy,43.150002
1904,Italy,44.43
1905,Italy,43.939999
1906,Italy,45.09
1907,Italy,45.450001
1908,Italy,43.189999
1909,Italy,44.669998
1910,Italy,46.75
1911,Italy,44.77
1912,Italy,48.98
1913,Italy,48.459999
1914,Italy,49.889999
1915,Italy,42.34
1916,Italy,39.27
1917,Italy,37.689999
1918,Italy,25.620001
1919,Italy,42.099998
1920,Italy,45.509998
1921,Italy,49.25
1922,Italy,50.009998
1923,Italy,51.450001
1924,Italy,51.509998
1925,Italy,51.310001
1926,Italy,50.959999
1927,Italy,52.580002
1928,Italy,52.669998
1929,Italy,52.290001
1930,Italy,55.200001
1931,Italy,54.779999
1932,Italy,54.77
1933,Italy,56.290001
1934,Italy,56.860001
1935,Italy,56.220001
1936,Italy,56.75
1937,Italy,55.490002
1938,Italy,56.130001
1939,Italy,57.639999
1940,Italy,56.950001
1941,Italy,54.619999
1942,Italy,52.450001
1943,Italy,49.189999
1944,Italy,52.34
1945,Italy,54.779999
1946,Italy,58.970001
1947,Italy,61.18
1948,Italy,63.450001
1949,Italy,64.110001
1950,Italy,65.769997
1951,Italy,65.309998
1952,Italy,65.940002
1953,Italy,66.580002
1954,Italy,67.900002
1955,Italy,68.25
1956,Italy,67.639999
1957,Italy,67.809998
1958,Italy,68.870003
1959,Italy,69.32
1960,Italy,69.209999
1961,Italy,69.849998
1962,Italy,69.239998
1963,Italy,69.349998
1964,Italy,70.400002
1965,Italy,70.269997
1966,Italy,71.019997
1967,Italy,71.059998
1968,Italy,70.879997
1969,Italy,70.900002
1970,Italy,71.660004
1971,Italy,71.910004
1972,Italy,72.190002
1973,Italy,72.129997
1974,Italy,72.849998
1975,Italy,72.760002
1976,Italy,73.110001
1977,Italy,73.480003
1978,Italy,73.830002
1979,Italy,74.160004
1980,Italy,74.120003
1981,Italy,74.510002
1982,Italy,74.980003
1983,Italy,74.800003
1984,Italy,75.559998
1985,Italy,75.669998
1986,Italy,76
1987,Italy,76.419998
1988,Italy,76.599998
1989,Italy,77
1990,Italy,77.019997
1991,Italy,77.190002
1992,Italy,77.410004
1993,Italy,77.620003
1994,Italy,77.849998
1995,Italy,78.120003
1996,Italy,78.330002
1997,Italy,78.690002
1998,Italy,78.970001
1999,Italy,79.269997
2000,Italy,79.599998
2001,Italy,79.93
2002,Italy,80.169998
2003,Italy,80.269997
2004,Italy,80.720001
2005,Italy,80.910004
2006,Italy,81.089996
2007,Italy,81.269997
2008,Italy,81.459999
2009,Italy,81.57
2010,Italy,81.779999
2011,Italy,81.919998
2012,Italy,82.019997
2013,Italy,82.239998
2014,Italy,82.290001
2015,Italy,82.330002
2016,Italy,82.339996
1800,Japan,36.400002
1801,Japan,36.400398
1802,Japan,36.400795
1803,Japan,36.401192
1804,Japan,36.401588
1805,Japan,36.401989
1806,Japan,36.402386
1807,Japan,36.402782
1808,Japan,36.403179
1809,Japan,36.40358
1810,Japan,36.403976
1811,Japan,36.404373
1812,Japan,36.40477
1813,Japan,36.405167
1814,Japan,36.405567
1815,Japan,36.405964
1816,Japan,36.406361
1817,Japan,36.406757
1818,Japan,36.407154
1819,Japan,36.407555
1820,Japan,36.407951
1821,Japan,36.408348
1822,Japan,36.408745
1823,Japan,36.409142
1824,Japan,36.409542
1825,Japan,36.409939
1826,Japan,36.410336
1827,Japan,36.410732
1828,Japan,36.411133
1829,Japan,36.41153
1830,Japan,36.411926
1831,Japan,36.412323
1832,Japan,36.41272
1833,Japan,36.41312
1834,Japan,36.413517
1835,Japan,36.413914
1836,Japan,36.41431
1837,Japan,36.414707
1838,Japan,36.415108
1839,Japan,36.415504
1840,Japan,36.415901
1841,Japan,36.416298
1842,Japan,36.416698
1843,Japan,36.417095
1844,Japan,36.417492
1845,Japan,36.417889
1846,Japan,36.418285
1847,Japan,36.418686
1848,Japan,36.419083
1849,Japan,36.419479
1850,Japan,36.419876
1851,Japan,36.420273
1852,Japan,36.420673
1853,Japan,36.42107
1854,Japan,36.421467
1855,Japan,36.421864
1856,Japan,36.42226
1857,Japan,36.422661
1858,Japan,36.423058
1859,Japan,36.423454
1860,Japan,36.423851
1861,Japan,36.424252
1862,Japan,36.424648
1863,Japan,36.425045
1864,Japan,36.425442
1865,Japan,36.425838
1866,Japan,36.459202
1867,Japan,36.492561
1868,Japan,36.525921
1869,Japan,36.55928
1870,Japan,36.59264
1871,Japan,36.633999
1872,Japan,36.675362
1873,Japan,36.716721
1874,Japan,36.75808
1875,Japan,36.799438
1876,Japan,36.846848
1877,Japan,36.894257
1878,Japan,36.941666
1879,Japan,36.989071
1880,Japan,37.03648
1881,Japan,37.094864
1882,Japan,37.153248
1883,Japan,37.211632
1884,Japan,37.270016
1885,Japan,37.3284
1886,Japan,37.397858
1887,Japan,37.467312
1888,Japan,37.53677
1889,Japan,37.606224
1890,Japan,37.675678
1891,Japan,37.760113
1892,Japan,37.844543
1893,Japan,37.928974
1894,Japan,38.013409
1895,Japan,38.097839
1896,Japan,38.198273
1897,Japan,38.298702
1898,Japan,38.399136
1899,Japan,38.499569
1900,Japan,38.599998
1901,Japan,38.724384
1902,Japan,38.848766
1903,Japan,38.973152
1904,Japan,39.097534
1905,Japan,39.22192
1906,Japan,39.372257
1907,Japan,39.522591
1908,Japan,39.672928
1909,Japan,39.823265
1910,Japan,39.973598
1911,Japan,40.158768
1912,Japan,40.343937
1913,Japan,40.529102
1914,Japan,40.714272
1915,Japan,40.899441
1916,Japan,41.128414
1917,Japan,41.357391
1918,Japan,32.69595
1919,Japan,41.815346
1920,Japan,42.044319
1921,Japan,42.330318
1922,Japan,42.616322
1923,Japan,43.22493
1924,Japan,43.833534
1925,Japan,44.442142
1926,Japan,45.050751
1927,Japan,45.659359
1928,Japan,45.98225
1929,Japan,46.305141
1930,Japan,46.628029
1931,Japan,46.95092
1932,Japan,47.273811
1933,Japan,47.596699
1934,Japan,47.91959
1935,Japan,48.242481
1936,Japan,48.621239
1937,Japan,49
1938,Japan,49
1939,Japan,49
1940,Japan,49
1941,Japan,48.75
1942,Japan,48.5
1943,Japan,46
1944,Japan,40
1945,Japan,30.5368
1946,Japan,46.5
1947,Japan,51.75
1948,Japan,56.889999
1949,Japan,57.759998
1950,Japan,59.299999
1951,Japan,60.990002
1952,Japan,63.029999
1953,Japan,63.369999
1954,Japan,64.610001
1955,Japan,65.769997
1956,Japan,65.629997
1957,Japan,65.5
1958,Japan,67.120003
1959,Japan,67.510002
1960,Japan,67.800003
1961,Japan,68.449997
1962,Japan,68.730003
1963,Japan,69.809998
1964,Japan,70.279999
1965,Japan,70.330002
1966,Japan,71.139999
1967,Japan,71.43
1968,Japan,71.75
1969,Japan,71.980003
1970,Japan,72.07
1971,Japan,72.889999
1972,Japan,73.419998
1973,Japan,73.480003
1974,Japan,73.910004
1975,Japan,74.410004
1976,Japan,74.809998
1977,Japan,75.379997
1978,Japan,75.699997
1979,Japan,76.209999
1980,Japan,76.190002
1981,Japan,76.599998
1982,Japan,77.110001
1983,Japan,77.139999
1984,Japan,77.540001
1985,Japan,77.839996
1986,Japan,78.260002
1987,Japan,78.669998
1988,Japan,78.580002
1989,Japan,79.010002
1990,Japan,78.940002
1991,Japan,79.139999
1992,Japan,79.290001
1993,Japan,79.459999
1994,Japan,79.699997
1995,Japan,79.75
1996,Japan,80.169998
1997,Japan,80.389999
1998,Japan,80.550003
1999,Japan,80.720001
2000,Japan,81.029999
2001,Japan,81.309998
2002,Japan,81.559998
2003,Japan,81.75
2004,Japan,81.93
2005,Japan,82.050003
2006,Japan,82.239998
2007,Japan,82.410004
2008,Japan,82.57
2009,Japan,82.769997
2010,Japan,82.910004
2011,Japan,82.660004
2012,Japan,83.230003
2013,Japan,83.440002
2014,Japan,83.690002
2015,Japan,83.830002
2016,Japan,83.940002
1800,Mexico,26.9
1801,Mexico,26.9
1802,Mexico,26.9
1803,Mexico,26.9
1804,Mexico,26.9
1805,Mexico,26.9
1806,Mexico,26.9
1807,Mexico,26.9
1808,Mexico,26.9
1809,Mexico,26.9
1810,Mexico,26.9
1811,Mexico,26.9
1812,Mexico,26.9
1813,Mexico,26.9
1814,Mexico,26.9
1815,Mexico,26.9
1816,Mexico,26.9
1817,Mexico,26.9
1818,Mexico,26.9
1819,Mexico,26.9
1820,Mexico,26.9
1821,Mexico,26.9
1822,Mexico,26.9
1823,Mexico,26.9
1824,Mexico,26.9
1825,Mexico,26.9
1826,Mexico,26.9
1827,Mexico,26.9
1828,Mexico,26.9
1829,Mexico,26.9
1830,Mexico,26.9
1831,Mexico,26.9
1832,Mexico,26.9
1833,Mexico,26.9
1834,Mexico,26.9
1835,Mexico,26.9
1836,Mexico,26.9
1837,Mexico,26.9
1838,Mexico,26.9
1839,Mexico,26.9
1840,Mexico,26.9
1841,Mexico,26.9
1842,Mexico,26.9
1843,Mexico,26.9
1844,Mexico,26.9
1845,Mexico,26.9
1846,Mexico,26.9
1847,Mexico,26.9
1848,Mexico,26.9
1849,Mexico,26.9
1850,Mexico,26.9
1851,Mexico,26.9
1852,Mexico,26.9
1853,Mexico,26.9
1854,Mexico,26.9
1855,Mexico,26.9
1856,Mexico,26.9
1857,Mexico,26.9
1858,Mexico,26.9
1859,Mexico,26.9
1860,Mexico,26.9
1861,Mexico,26.9
1862,Mexico,26.9
1863,Mexico,26.9
1864,Mexico,26.9
1865,Mexico,26.9
1866,Mexico,26.9
1867,Mexico,26.9
1868,Mexico,26.9
1869,Mexico,26.9
1870,Mexico,26.9
1871,Mexico,26.9
1872,Mexico,26.9
1873,Mexico,26.9
1874,Mexico,26.9
1875,Mexico,26.9
1876,Mexico,26.9
1877,Mexico,26.9
1878,Mexico,26.9
1879,Mexico,26.9
1880,Mexico,26.9
1881,Mexico,26.9
1882,Mexico,26.9
1883,Mexico,26.9
1884,Mexico,26.9
1885,Mexico,26.9
1886,Mexico,26.9
1887,Mexico,26.9
1888,Mexico,26.9
1889,Mexico,26.9
1890,Mexico,26.9
1891,Mexico,25.696667
1892,Mexico,24.493334
1893,Mexico,23.290001
1894,Mexico,26.620001
1895,Mexico,29.52
1896,Mexico,28.799999
1897,Mexico,26.24
1898,Mexico,27.030001
1899,Mexico,24.98
1900,Mexico,27.58
1901,Mexico,26.65
1902,Mexico,28.370001
1903,Mexico,28.68
1904,Mexico,29.09
1905,Mexico,26.799999
1906,Mexico,27.879999
1907,Mexico,27.969999
1908,Mexico,28.719999
1909,Mexico,29.209999
1910,Mexico,27.41
1911,Mexico,27.842501
1912,Mexico,28.275
1913,Mexico,28.7075
1914,Mexico,29.139999
1915,Mexico,29.5725
1916,Mexico,30.004999
1917,Mexico,30.4375
1918,Mexico,18.186424
1919,Mexico,31.3025
1920,Mexico,31.735001
1921,Mexico,32.1675
1922,Mexico,32.599998
1923,Mexico,33.5
1924,Mexico,32.799999
1925,Mexico,32.099998
1926,Mexico,34.200001
1927,Mexico,40.299999
1928,Mexico,34.5
1929,Mexico,35.400002
1930,Mexico,36.200001
1931,Mexico,37.700001
1932,Mexico,38.400002
1933,Mexico,37.299999
1934,Mexico,38.200001
1935,Mexico,40.400002
1936,Mexico,38.299999
1937,Mexico,36.799999
1938,Mexico,39.400002
1939,Mexico,45.5
1940,Mexico,39.200001
1941,Mexico,42.599998
1942,Mexico,39.799999
1943,Mexico,42.799999
1944,Mexico,43.200001
1945,Mexico,44.200001
1946,Mexico,44.799999
1947,Mexico,46.299999
1948,Mexico,48.299999
1949,Mexico,45.799999
1950,Mexico,48.556
1951,Mexico,49.115002
1952,Mexico,50.209999
1953,Mexico,51.254002
1954,Mexico,52.247002
1955,Mexico,53.189999
1956,Mexico,54.081001
1957,Mexico,54.918999
1958,Mexico,55.702
1959,Mexico,56.424
1960,Mexico,57.083
1961,Mexico,57.674
1962,Mexico,58.199001
1963,Mexico,58.661999
1964,Mexico,59.076
1965,Mexico,59.453999
1966,Mexico,59.813999
1967,Mexico,60.172001
1968,Mexico,60.542999
1969,Mexico,60.938999
1970,Mexico,61.368999
1971,Mexico,61.835999
1972,Mexico,62.333
1973,Mexico,62.851002
1974,Mexico,63.383999
1975,Mexico,63.928001
1976,Mexico,64.473999
1977,Mexico,65.015999
1978,Mexico,65.547997
1979,Mexico,66.065002
1980,Mexico,66.563004
1981,Mexico,67.041
1982,Mexico,67.502998
1983,Mexico,67.950996
1984,Mexico,68.387001
1985,Mexico,68.811996
1986,Mexico,69.227997
1987,Mexico,69.637001
1988,Mexico,70.040001
1989,Mexico,70.440002
1990,Mexico,71.510002
1991,Mexico,71.879997
1992,Mexico,72.089996
1993,Mexico,72.300003
1994,Mexico,72.620003
1995,Mexico,72.849998
1996,Mexico,73.220001
1997,Mexico,73.459999
1998,Mexico,73.709999
1999,Mexico,74.129997
2000,Mexico,74.610001
2001,Mexico,74.870003
2002,Mexico,74.889999
2003,Mexico,74.93
2004,Mexico,75.220001
2005,Mexico,75.209999
2006,Mexico,75.459999
2007,Mexico,75.660004
2008,Mexico,75.440002
2009,Mexico,75.349998
2010,Mexico,75.440002
2011,Mexico,75.720001
2012,Mexico,75.879997
2013,Mexico,75.790001
2014,Mexico,75.900002
2015,Mexico,76.190002
2016,Mexico,76.379997
1800,Russia,29.573458
1801,Russia,29.573458
1802,Russia,29.573458
1803,Russia,29.573458
1804,Russia,29.573458
1805,Russia,29.573458
1806,Russia,29.573458
1807,Russia,29.573458
1808,Russia,29.573458
1809,Russia,29.573458
1810,Russia,29.573458
1811,Russia,29.573458
1812,Russia,29.573458
1813,Russia,29.573458
1814,Russia,29.573458
1815,Russia,29.573458
1816,Russia,29.573458
1817,Russia,29.573458
1818,Russia,29.573458
1819,Russia,29.573458
1820,Russia,29.573458
1821,Russia,29.573458
1822,Russia,29.573458
1823,Russia,29.573458
1824,Russia,29.573458
1825,Russia,29.573458
1826,Russia,29.573458
1827,Russia,29.573458
1828,Russia,29.573458
1829,Russia,29.573458
1830,Russia,29.573458
1831,Russia,29.573458
1832,Russia,29.573458
1833,Russia,29.573458
1834,Russia,29.573458
1835,Russia,29.573458
1836,Russia,29.573458
1837,Russia,29.573458
1838,Russia,29.573458
1839,Russia,29.573458
1840,Russia,29.573458
1841,Russia,29.573458
1842,Russia,29.573458
1843,Russia,29.573458
1844,Russia,29.573458
1845,Russia,29.573458
1846,Russia,29.573458
1847,Russia,29.573458
1848,Russia,18
1849,Russia,29.573458
1850,Russia,29.573458
1851,Russia,29.573458
1852,Russia,29.573458
1853,Russia,29.5
1854,Russia,27.5
1855,Russia,27.5
1856,Russia,29
1857,Russia,29.573458
1858,Russia,29.573458
1859,Russia,29.573458
1860,Russia,29.573458
1861,Russia,29.573458
1862,Russia,29.573458
1863,Russia,29.573458
1864,Russia,29.573458
1865,Russia,29.573458
1866,Russia,29.573458
1867,Russia,29.573458
1868,Russia,27.851233
1869,Russia,27.934912
1870,Russia,31.120827
1871,Russia,28.103025
1872,Russia,25.916433
1873,Russia,29.484869
1874,Russia,30.474104
1875,Russia,31.120827
1876,Russia,30.93466
1877,Russia,31.308113
1878,Russia,27.767805
1879,Russia,30.841995
1880,Russia,30.201067
1881,Russia,32.164948
1882,Russia,26.705706
1883,Russia,29.045897
1884,Russia,32.749157
1885,Russia,30.841995
1886,Russia,34.256531
1887,Russia,33.244099
1888,Russia,33.144516
1889,Russia,31.027603
1890,Russia,29.930477
1891,Russia,26.387152
1892,Russia,21.261061
1893,Russia,27.601696
1894,Russia,28.103025
1895,Russia,26.947142
1896,Russia,28.27215
1897,Russia,30.474104
1898,Russia,27.934912
1899,Russia,31.591158
1900,Russia,30.749607
1901,Russia,29.045897
1902,Russia,29.84082
1903,Russia,31.781273
1904,Russia,32.164948
1905,Russia,30.474104
